title,info,frequency number,frequency period,facebook fans,twitter followers
"CNN - Breaking News, Latest News and Videos","About Website CNN.com delivers up-to-the-minute news and information on the latest top stories, weather, entertainment, politics and more.
Frequency about 3 posts per week.
Website us.cnn.com
Facebook fans 27,276,684. Twitter followers 33,359,967.
View Latest Posts ▸
Subscribe newsletter",3,week, 2727668,33359967
The New York Times,"New York City
About Website The New York Times provides breaking news, multimedia, reviews & opinion on Washington, business, sports, movies, travel, books, jobs, education, real estate, cars & more.
Frequency about 168 posts per week.
Website nytimes.com
Facebook fans 15,195,747. Twitter followers 40,813,041.
View Latest Posts ▸
Subscribe newsletter",168,week, 1519574,40813041
The Huffington Post,"About Website The destination for news, blogs and original content offering coverage of US politics, entertainment, style, world news, technology and comedy by Huffington Post.
Frequency about 168 posts per week.
Website huffingtonpost.com
Facebook fans 9,306,376. Twitter followers 9,802,796.
View Latest Posts ▸
Subscribe newsletter",168,week, 930637,9802796
Fox News | Breaking News Updates | Latest News Headlines,"U.S.A.
About Website Fox News provides breaking news and videos on latest current news, U.S., World, Entertainment, Health, Business, Technology, Politics and Sports.
Frequency about 168 posts per week.
Website foxnews.com
Facebook fans 16,294,717. Twitter followers 17,558,190.
View Latest Posts ▸
Subscribe newsletter",168,week, 1629471,17558190
USA TODAY,"USA TODAY HQ, McLean, Va.
About Website USA TODAY delivers current local and national news, sports, entertainment, finance, technology, and more through award-winning journalism, photos, videos and VR.
Frequency about 168 posts per week.
Website usatoday.com
Facebook fans 15,077,985. Twitter followers 3,272,717.
View Latest Posts ▸
Subscribe newsletter",168,week, 1507798,3272717
Reuters » U.S. News,"About Website Reuters.com is your online source for the latest U.S. news stories from coast to coast and stay current on the events that shape our nation.
Frequency about 168 posts per week.
Website reuters.com/news/us
Facebook fans 3,999,722. Twitter followers 19,577,136.",168,week, 399972,19577136
POLITICO,"Washington, D.C.
About Website POLITICO launched in January 2007 with the mission of covering the politics of Capitol Hill, the presidential campaign, and the business of Washington lobbying and advocacy with enterprise, style, and impact. Political news about Congress, the White House, campaigns, lobbyists and issues.
Frequency about 168 posts per week.
Website politico.com
Facebook fans 1,697,168. Twitter followers 3,330,418.",168,week, 169716,3330418
Yahoo News | Latest News & Headlines,"New York City
About Website The latest news and headlines from Yahoo! News. Get breaking news stories and in-depth coverage with videos and photos.
Frequency about 168 posts per week.
Website yahoo.com/news
Facebook fans 7,527,190. Twitter followers 1,140,954.",168,week, 752719,1140954
NPR News,"Washington, DC
About Website NPR delivers breaking national and world news. Also top stories from business, politics, health, science, technology, music, arts and culture.
Frequency about 168 posts per week.
Website npr.org
Facebook fans 5,930,688. Twitter followers 6,888,064.",168,week, 593068,6888064
Los Angeles Times » Local,"Los Angeles, CA
About Website The LA Times strive to be the definitive news source for Californians, an essential part of the national news dialogue, and the voice of Los Angeles around the world.
Frequency about 34 posts per week.
Website latimes.com/local
Facebook fans 2,723,099. Twitter followers 3,236,784.",34,week, 272309,3236784
NBC News,"New York, NY
About Website NBC News is a leading source of global news and information for more than 75 years. Go to NBCNews.com for breaking news, videos, and the latest top stories in world news, business, politics, health and pop culture.
Frequency about 168 posts per week.
Website nbcnews.com
Facebook fans 9,136,137. Twitter followers 4,603,918.",168,week, 913613,4603918
CBS News,"New York, NY
About Website CBS News is dedicated to providing the best in journalism under standards it pioneered at the dawn of radio and television and continue in the digital age.
Frequency about 3 posts per week.
Website cbsnews.com
Facebook fans 4,241,197. Twitter followers 5,678,266.",3,week, 424119,5678266
New York Post,"New York, NY
About Website New York Post is your source for breaking news, news about New York, sports, business, entertainment, opinion, real estate, culture, fashion, and more.
Frequency about 168 posts per week.
Also in New York News Websites, New York Blogs
Website nypost.com
Facebook fans 4,115,628. Twitter followers 1,349,625.",168,week, 411562,1349625
"ABC News » Top Stories | Breaking News, Latest News, Headlines & Videos","New York City
About Website ABC News is your trusted source for breaking news, analysis, exclusive interviews, headlines, and videos. They are updated around the clock with breaking news, top stories, videos, photos, special reports and exclusive interviews.
Frequency about 168 posts per week.
Website abcnews.go.com
Facebook fans 12,730,091. Twitter followers 46,588.",168,week, 1273009,46588
New York Daily News » Top Stories,"New York City
About Website Find breaking US news, local New York news coverage, sports, entertainment news, celebrity gossip, autos, videos and photos at nydailynews.com.
Frequency about 168 posts per week.
Website nydailynews.com
Facebook fans 2,859,509. Twitter followers 657,288.",168,week, 285950,657288
Breitbart News Network,"About Website Breitbart News is a conservative news and opinion website founded by the late Andrew Breitbart. Breitbart News Network is a syndicated news and opinion website providing continuously updated headlines to top news and analysis sources.
Frequency about 168 posts per week.
Website breitbart.com
Facebook fans 3,579,111. Twitter followers 792,922.",168,week, 357911,792922
Newsweek,"New York, NY
About Website Newsweek has been a staple of American media for over 80 years, bringing high-quality journalism to millions of readers around the globe. Newsweek provides in-depth analysis, news and opinion about international issues, technology, business, culture and politics.
Frequency about 168 posts per week.
Website newsweek.com
Facebook fans 1,322,881. Twitter followers 3,401,194.",168,week, 132288,3401194
The Denver Post,"Denver, CO
About Website The Denver Post provides you with the most relevant, current news and information about Denver, Colorado and the Rocky Mountain West on any platform you choose, any time you want. The Denver Post reaches roughly 6 million unique visitors per month and provides news about local and state government, neighborhoods, cities, businesses and people in Denver and the state of Colorado.
Frequency about 168 posts per week.
Website denverpost.com
Facebook fans 411,040. Twitter followers 353,257.",168,week, 41104,353257
CBS Washington,"D.C. Maryland. Virginia.
About Website CBS Washington procides news, Sports, Weather, Traffic and the Best of Washington DC.
Frequency about 56 posts per week.
Website washington.cbslocal.com
Facebook fans 11,938. Twitter followers 16,947.",56,week, 1193,16947
CBS San Francisco,"San Francisco Bay Area
About Website CBS San Francisco brings you news, sports, weather, traffic and the best of San Francisco.
Frequency about 168 posts per week.
Website sanfrancisco.cbslocal.com
Facebook fans 219,510. Twitter followers 74,679.",168,week, 21951,74679
CBS Tampa,"Tampa/St. Petersburg, Florida
About Website Covering the Tampa Bay area with breaking news, weather & more from CBS News.
Frequency about 42 posts per week.
Website tampa.cbslocal.com
Facebook fans 1,705. Twitter followers 2,357.",42,week, 170,2357
CBS New York,"New York City
About Website CBS New York offers Local News, Sports, Traffic, Weather, and the Best Of New York.
Frequency about 168 posts per week.
Website newyork.cbslocal.com
Facebook fans 881,619. Twitter followers 131,935.",168,week, 88161,131935
Chicago Tribune,"Chicago, Illinois
About Website Chicago Tribune is your source for Chicago breaking news, sports, business, entertainment, weather and traffic.
Frequency about 168 posts per week.
Also in Chicago News Websites
Website chicagotribune.com
Facebook fans 563,064. Twitter followers 1,053,757.",168,week, 56306,1053757
CBS Boston,"Boston
About Website CBS Boston is Boston's source for breaking news, weather, traffic, and sports.
Frequency about 168 posts per week.
Website boston.cbslocal.com
Facebook fans 365,864. Twitter followers 61.",168,week, 36586,61
CBS Dallas - Fort Worth,"Dallas / Fort Worth
About Website CBS Dallas / Fort Worth provides News, Sports, Weather, Traffic and the Best of DFW.
Frequency about 168 posts per week.
Also in Dallas News Websites
Website dfw.cbslocal.com
Facebook fans 432,642. Twitter followers 124,984.",168,week, 43264,124984
CBS Los Angeles,"Los Angeles
About Website CBS Los Angeles provides news, Sports, Weather, Traffic and the Best of LA/OC.
Frequency about 168 posts per week.
Also in Los Angeles News Websites
Website losangeles.cbslocal.com
Facebook fans 702,561. Twitter followers 170,989.",168,week, 70256,170989
CBS Detroit,"About Website News, Sports, Weather, Traffic and the Best of Detroit.
Frequency about 168 posts per week.
Also in Detroit News Websites
Website detroit.cbslocal.com
Facebook fans 30,639. Twitter followers 28,734.",168,week, 3063,28734
WCCO - CBS Minnesota,"Minneapolis, MN
About Website News, Sports, Weather, Traffic, and the Best of Minnesota, and the Twin Cities of Minneapolis-St. Paul.
Frequency about 168 posts per week.
Also in Minnesota News Websites
Website minnesota.cbslocal.com
Facebook fans 278,215. Twitter followers 185,769.",168,week, 27821,185769
CBS Chicago,"Chicago
About Website CBS Chicago is comprised of Chicago's biggest media brands in News, Sports, and Entertainment. It offers the latest news, weather & sports for all of Chicagoland.
Frequency about 168 posts per week.
Website chicago.cbslocal.com
Facebook fans 266,139. Twitter followers 143,225.",168,week, 26613,143225
CBS Philly,"Philadelphia, PA
About Website CBSPhilly, your home for the latest news, weather, traffic and sports along with great lifestyle content related to philadelphia.
Frequency about 168 posts per week.
Also in Philadelphia News Websites
Website philadelphia.cbslocal.com
Facebook fans 253,707. Twitter followers 179,195.",168,week, 25370,179195
The Onion,"About Website The Onion is America's Finest News Source.
Frequency about 84 posts per week.
Also in Humor Blogs
Website theonion.com
Facebook fans 6,486,191. Twitter followers 9,949,634.",84,week, 648619,9949634
Newsmax,"United States
About Website Newsmax.com reports todays news headlines, live news stream, news videos from Americans and global readers seeking the latest in current events, politics, U.S., world news, health, finance, science, technology reports, republican, democrat, libertarian.
Frequency about 168 posts per week.
Website newsmax.com
Facebook fans 1,180,582. Twitter followers 68,177.",168,week, 118058,68177
The Washington Times,"Washington, D.C.
About Website he Washington Times is a full-service, general interest daily media publication in the nation's capital. Founded in 1982, The Washington Times has gained a reputation for hard-hitting investigative reporting and thorough coverage of politics and policy. The Washington Times delivers breaking news and commentary on the issues that affect the future of our nation.
Frequency about 168 posts per week.
Website washingtontimes.com
Facebook fans 593,021. Twitter followers 304,848.",168,week, 59302,304848
"Boston.com - Local breaking news, sports, and culture","Boston, MA
About Website The news, sports, and culture that Boston really cares about right now!
Frequency about 168 posts per week.
Website boston.com
Facebook fans 377,077. Twitter followers 452,120.",168,week, 37707,452120
"Miami Herald | South Florida Breaking News, Sports & Crime","Miami, FL
About Website Read the latest local news, from Miami and the South Florida area, and around the country and world by Miami Herald.
Frequency about 168 posts per week.
Also in Miami Blogs, Florida News Websites
Website miamiherald.com/news
Facebook fans 296,138. Twitter followers 393,112.",168,week, 29613,393112
The Mercury News,"Silicon Valley, CA
About Website The Mercury News is the leading source of breaking news, local news, sports, business, entertainment, lifestyle and opinion for Silicon Valley, San Francisco Bay Area and beyond.
Frequency about 168 posts per week.
Website mercurynews.com
Facebook fans 169,185. Twitter followers 178,020.",168,week, 16918,178020
The Seattle Times,"Seattle, WA
About Website The Seattle Times is a locally-owned, private, independent news source. Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest.
Frequency about 168 posts per week.
Website seattletimes.com
Facebook fans 320,209. Twitter followers 475,545.",168,week, 32020,475545
"Philly.com News | Philadelphia local news, sports, jobs, cars, homes","Philadelphia, PA
About Website Philly.com is your source for all Philadelphia news. They offers readers everything they need to know about Philadelphia and the surrounding areas. Check out 24-hour breaking news, sports, weather, entertainment and more.
Frequency about 168 posts per week.
Also in Philadelphia Blogs
Website philly.com
Facebook fans 236,200. Twitter followers 377,312.",168,week, 23620,377312
Observer,"New York City
About Website Observer delivers authoritative content that informs and inspires an educated audience of over 6.75MM influential readers each month. Topics include News & Politics, Arts & Entertainment, Style & Design and Business & Technology.
Frequency about 84 posts per week.
Website observer.com
Facebook fans 266,823. Twitter followers 187,613.",84,week, 26682,187613
STLtoday,"St. Louis, Mo.
About Website St. Louis sports, news, breaking news, lifestyle, parenting, business, entertainment, weather, jobs, autos and real estate listings from the St. Louis Post-Dispatch.
Frequency about 168 posts per week.
Website stltoday.com
Facebook fans 188,907. Twitter followers 196,929.",168,week, 18890,196929
Seattlepi,"Seattle, Washington, USA
About Website Seattle local news, traffic, weather, business news, sports, real estate, photos and events.
Frequency about 28 posts per week.
Website seattlepi.com
Facebook fans 87,918. Twitter followers 149,177.",28,week, 8791,149177
KTLA | Los Angeles News and Video for Southern California,"Los Angeles, CA
About Website The first commercial TV station licensed west of the Mississippi, Los Angeles-based KTLA has been keeping Southern Californians informed since 1947. KTLA 5 is a Los Angeles News and Video for Southern California.
Frequency about 168 posts per week.
Also in California News Websites
Website ktla.com
Facebook fans 1,266,887. Twitter followers 689,381.",168,week, 126688,689381
Newsday,"Long Island, NY
About Website Breaking News, data & opinions in business, sports, entertainment, travel, lifestyle, plus much more. Newsday.com is the leading news source for Long Island & NYC.
Frequency about 42 posts per week.
Website newsday.com
Facebook fans 661,715. Twitter followers 231,147.",42,week, 66171,231147
Chicago Sun-Times,"Chicago, IL
About Website One of the 10 most-read daily newspapers in the United States, the Chicago Sun-Times has won eight Pulitzer Prizes and is home to such renowned journalists as political columnist Lynn Sweet, film critic Richard Roeper and sports writer Rick Telander. Follow for Chicago News, Sports, Politics, Entertainment, Weather and More
Frequency about 168 posts per week.
Website chicago.suntimes.com
Facebook fans 360,681. Twitter followers 388,236.",168,week, 36068,388236
ABC13 Houston | KTRK Houston and Southeast Texas News,"Houston, TX
About Website ABC13 is your source for breaking news from Houston and the surrounding neighborhoods. Watch live streaming video and stay updated on Houston news.
Frequency about 168 posts per week.
Also in Texas News Websites, Houston News Websites
Website abc13.com
Facebook fans 1,418,182. Twitter followers 719,727.",168,week, 141818,719727
L.A. Weekly | Los Angeles News and Events,"Los Angeles
About Website LA Weekly is the definitive source of information for news, music, movies, restaurants, reviews, and events in Los Angeles.
Frequency about 42 posts per week.
Also in Los Angeles Blogs
Website laweekly.com
Facebook fans 394,206. Twitter followers 724,272.",42,week, 39420,724272
Boston Herald,"Boston, MA
About Website The Boston Herald is a daily newspaper whose primary market is Boston, Massachusetts, United States, and its surrounding area. It was started in 1846 and is one of the oldest daily newspapers in the United States.
Frequency about 168 posts per week.
Website bostonherald.com
Facebook fans 152,642. Twitter followers 94,621.",168,week, 15264,94621
WTOP,"Washington, DC
About Website WTOP brings you the latest news, traffic, and weather information for the Washington, D.C. region. Catch up on the issues and topics important to you today.
Frequency about 168 posts per week.
Website wtop.com
Facebook fans 172,728. Twitter followers 221,581.",168,week, 17272,221581
WGN-TV,"Chicago, IL
About Website WGN-TV is Chicago's very own source for breaking news, weather, sports and entertainment.
Frequency about 168 posts per week.
Website wgntv.com
Facebook fans 1,065,158. Twitter followers 257,486.",168,week, 106515,257486
