title,info,frequency number,frequency period,facebook fans,twitter followers
NBC New York,"New York, NY
About Website Get the latest New York news, weather, traffic, entertainment and health. Get local NY news, NYC breaking news, and national news from NBC New York.
Frequency about 168 posts per week.
Website nbcnewyork.com
Facebook fans 1,092,821. Twitter followers 265,379.",168,week, 109282,265379
ABC7 News,"San Francisco Bay Area
About Website The Bay Area's source for breaking news and live streaming video online. Covering San Francisco, Oakland and San Jose and all of the greater Bay Area.
Frequency about 168 posts per week.
Website abc7news.com
Facebook fans 988,166. Twitter followers 419,051.",168,week, 98816,419051
"KXAN News | Austin News & Weather – Austin Texas, Round Rock, TX","Austin, Texas
About Website KXAN News brings you local Austin news & weather stories, and we do what we do to make Austin, Round Rock, Hill Country & the rest of Central Texas a better place to live.
Frequency about 84 posts per week.
Also in Austin News Websites
Website kxan.com
Facebook fans 250,170. Twitter followers 169,573.",84,week, 25017,169573
FOX31 Denver KDVR,"Denver, Colorado
About Website Denver, Colorado News, Weather, Sports and more.
Frequency about 168 posts per week.
Website kdvr.com
Facebook fans 343,892. Twitter followers 119,889.",168,week, 34389,119889
Gothamist,"New York, NY
About Website Gothamist is a website about New York City and everything that happens in it.
Frequency about 84 posts per week.
Website gothamist.com
Facebook fans 263,513. Twitter followers 918,340.",84,week, 26351,918340
Automotive News,"Detroit, MI
About Website Automotive News has been the primary source for all that happening among automotive retailers, suppliers and OEMS since 1925. Automotive News is the leading source of news about the global automotive industry. The Automotive News mission is to be the primary source of industry news, data and understanding for dealerships, manufacturers, suppliers and others allied to the industry.
Frequency about 84 posts per week.
Since Oct 2017
Website autonews.com
Facebook fans 34,130. Twitter followers 179,601.",84,week, 3413,179601
Pioneer Press,"St. Paul, Minnesota
About Website St. Paul news includes crime, politics, education, business, sports, entertainment and things to do from the Pioneer Press.
Frequency about 168 posts per week.
Website twincities.com
Facebook fans 93,659. Twitter followers 137,367.",168,week, 9365,137367
NBC Chicago,"Chicago, IL
About Website Get the latest weather, traffic, entertainment and politics news in Chicago. Get local Chicago updates, Chicago breaking news, and \ national news from NBC Chicago.
Frequency about 168 posts per week.
Website nbcchicago.com
Facebook fans 833,823. Twitter followers 364,846.",168,week, 83382,364846
NBC4 Washington,"Washington, D.C.
About Website Get the latest Washington DC, Maryland and Northern Virginia news, weather, traffic, entertainment and health. Get local DC news, DC, Maryland and Virginia breaking news, and national news from NBC4 Washington.
Frequency about 84 posts per week.
Website nbcwashington.com
Facebook fans 541,261. Twitter followers 239,294.",84,week, 54126,239294
PhillyVoice,"Philadelphia
About Website Find Latest Philadelphia news, Sports, Business, Entertainment information and much more on this site.
Frequency about 168 posts per week.
Website phillyvoice.com
Facebook fans 93,472. Twitter followers 34,519.",168,week, 9347,34519
FOX2now,"St. Louis, Missouri
About Website St. Louis breaking news, STL stories, video, photo galleries from FOX 2.
Frequency about 168 posts per week.
Website fox2now.com
Facebook fans 737,639. Twitter followers 193,670.",168,week, 73763,193670
News 12,"Long Island, NY
About Website Find all the local news, traffic, and weather for Long Island, Westchester, Hudson Valley, Bronx, Brooklyn, New Jersey and Connecticut communities with News 12.
Frequency about 1 post per month.
Website brooklyn.news12.com
Facebook fans 346,734. Twitter followers 285,501.",1,month, 34673,285501
NBC Los Angeles,"Southern California
About Website Get the latest Los Angeles weather, traffic, politics, sports, and entertainment news in LA, Orange County, San Bernardino, Riverside, and Ventura. Get LA news, LA breaking local and national news from NBC Southern California.
Frequency about 21 posts per week.
Website nbclosangeles.com
Facebook fans 1,026,828. Twitter followers 423,755.",21,week, 102682,423755
Miami New Times,"Miami, FL
About Website Miami New Times is your guide to news, music, movies, culture, restaurants and events in Miami, Florida.
Frequency about 84 posts per week.
Website miaminewtimes.com
Facebook fans 159,075. Twitter followers 204,078.",84,week, 15907,204078
Village Voice,"New York
About Website Village Voice is your guide to news, music, movies, culture, restaurants and events in New York.
Frequency about 1 post per month.
Website villagevoice.com
Facebook fans 137,263. Twitter followers 249,183.",1,month, 13726,249183
Westword,"Denver, CO
About Website Westword is the definitive source of information for news, music, movies, restaurants, reviews, and events in Denver.
Frequency about 84 posts per week.
Website westword.com
Facebook fans 138,400. Twitter followers 175,432.",84,week, 13840,175432
NBC 10 Philadelphia,"Philadelphia, PA
About Website Get the latest Philadelphia news, weather, traffic, entertainment and health. Get local Philadelphia news, Philadelphia breaking news, and national news from NBC 10 Philadelphia.
Frequency about 168 posts per week.
Website nbcphiladelphia.com
Facebook fans 490,517. Twitter followers 484,048.",168,week, 49051,484048
NBC 7 San Diego,"San Diego, CA
About Website Get the latest San Diego news, weather, traffic, entertainment and breaking news. Get local San Diego news and national news from NBC 7 San Diego.
Frequency about 168 posts per week.
Website nbcsandiego.com
Facebook fans 365,905. Twitter followers 199,458.",168,week, 36590,199458
KRON4.com | San Francisco Bay Area News and Weather,"San Francisco Bay Area
About Website We tell local San Francisco news & weather stories, and we do what we do to make the Bay Area a better place to live.
Frequency about 168 posts per week.
Website kron4.com
Facebook fans 473,379. Twitter followers 187,631.",168,week, 47337,187631
PIX11 News,"New York, NY
About Website PIX11 News provides New York News, Weather, Entertainment, Transit and More.
Frequency about 168 posts per week.
Website pix11.com
Facebook fans 578,994. Twitter followers 59,471.",168,week, 57899,59471
"Daily Herald | Suburban Chicago Breaking News, Daily News","Chicago Suburbs
About Website Daily Herald is suburban Chicago's largest daily newspaper. A local perspective on local neighborhood news. Up to date breaking local and national news.
Frequency about 168 posts per week.
Website dailyherald.com
Facebook fans 31,752. Twitter followers 31,118.",168,week, 3175,31118
NBC 5 Dallas-Fort Worth,"About Website Local news, weather and sports for the Dallas-Fort Worth area from NBC 5. Get the latest about North Texas news, weather, sports, business, lifestyle, traffic and heath on NBC 5 DFW.
Frequency about 168 posts per week.
Website nbcdfw.com/news
Facebook fans 690,147. Twitter followers 357,661.",168,week, 69014,357661
The Arlington Advocate,"Arlington, Mass.
About Website Get the latest breaking news, sports, entertainment, obituaries from Arlington by The Arlington Advocate.
Frequency about 28 posts per week.
Website arlington.wickedlocal.com
Facebook fans 2,297. Twitter followers 3,029.",28,week, 229,3029
amNewYork,"New York, New York
About Website Get the latest New York City news, entertainment, sports, reviews, and much more local information that is important to you, all in one place on am New York.
Frequency about 1 post per month.
Website amny.com
Facebook fans 25,653. Twitter followers 58,437.",1,month, 2565,58437
Chicago Business News,"Chicago,USA
About Website Chicago Business for complete business news and analysis including healthcare, real estate, manufacturing, government, sports and more.
Frequency about 34 posts per week.
Also in Business News Websites
Website chicagobusiness.com
Facebook fans 30,352. Twitter followers 199,348.",34,week, 3035,199348
"WFLA NEWS - Tampa News & Weather | Clearwater Florida, Sarasota, FL","Tampa, FL
About Website Tampa Bay area breaking news, weather, radar, traffic, things to do, and more from Tampa's local news leader WFLA News Channel 8.
Frequency about 168 posts per week.
Website wfla.com
Facebook fans 837,384. Twitter followers 129,509.",168,week, 83738,129509
"WSVN 7News | Miami News, Weather, Sports","Miami / Fort Lauderdale
About Website South Florida's news station, 7 News. The latest breaking news, headlines, weather and sports about Miami / Fort Lauderdale.
Frequency about 168 posts per week.
Website wsvn.com/news
Facebook fans 436,781. Twitter followers 333,658.",168,week, 43678,333658
Phoenix New Times | Phoenix News and Events,"Phoenix
About Website The Phoenix New Times is the alternative weekly news publication in Phoenix, AZ and the surrounding valley. We're the definitive local guide to news, restaurants, music, movies, events and things to do in the Phoenix area. We're proud to be an integral part of the Phoenix community.
Frequency about 42 posts per week.
Also in Phoenix News Websites, Phoenix Blogs
Website phoenixnewtimes.com
Facebook fans 108,363. Twitter followers 151,497.",42,week, 10836,151497
Houston Press | Alternative News Source in Houston TX,"Houston, TX
About Website The Houston Press is the alternative news website in Houston, TX and the surrounding area. We're the definitive local guide to news, restaurants, music, movies, events and things to do in the Houston area.
Frequency about 56 posts per week.
Website houstonpress.com
Facebook fans 103,695. Twitter followers 307,678.",56,week, 10369,307678
The Press-Enterprise,"Riverside, CA
About Website The award-winning staff of PE.com covers local news from Riverside County, CA, California and national news, sports, things to do, and business in the Inland Empire.
Frequency about 168 posts per week.
Website pe.com
Facebook fans 76,766. Twitter followers 73,803.",168,week, 7676,73803
WXYZ Detroit,"Detroit, MI
About Website WXYZ is Detroit's ABC station. Michigan's 2nd-oldest station, broadcasting since 1948. On-air, online at WXYZ.com and always taking action for you.
Frequency about 168 posts per week.
Website wxyz.com
Facebook fans 372,258. Twitter followers 296,318.",168,week, 37225,296318
7News Boston WHDH,"Boston
About Website 7News Boston WHDH brings you Boston News, Weather, Sports.
Frequency about 168 posts per week.
Website whdh.com
Facebook fans 359,030. Twitter followers 261,724.",168,week, 35903,261724
FOX5 San Diego,"San Diego, CA
About Website Get the latest San Diego news, breaking news, weather, traffic, sports, entertainment and video from fox5sandiego.com. Watch live streaming newscasts from FOX 5 San Diego, KSWB Channel 5.
Frequency about 168 posts per week.
Also in San Diego News Websites
Website fox5sandiego.com
Facebook fans 340,559. Twitter followers 176,999.",168,week, 34055,176999
NBC 6 South Florida,"South Florida
About Website South Florida local news, national news and South Florida breaking news stories. Get the latest about South Florida business, South Florida sports, South Florida traffic, South Florida weather, South Florida health news and South Florida events on NBC South Florida.
Frequency about 84 posts per week.
Website nbcmiami.com
Facebook fans 251,951. Twitter followers 248,219.",84,week, 25195,248219
Riverfront Times,"St. Louis, Missouri
About Website Local St. Louis news, events, music, movies, restaurants, and reviews from Riverfront Times.
Frequency about 42 posts per week.
Website riverfronttimes.com
Facebook fans 84,684. Twitter followers 96,638.",42,week, 8468,96638
ABC Action News,"Tampa
About Website Local Breaking News, Weather and Sports coverage for Tampa Bay, Florida from ABC Action News.
Frequency about 84 posts per week.
Website abcactionnews.com
Facebook fans 617,679. Twitter followers 133,187.",84,week, 61767,133187
WIVB-TV,"Buffalo, NY
About Website Buffalo News, Breaking News and Severe Weather from Buffalo, NY and Niagara Falls from News 4 WIVB-TV in Buffalo, NY.
Frequency about 168 posts per week.
Website wivb.com
Facebook fans 195,778. Twitter followers 147,743.",168,week, 19577,147743
Chicago Reader,"Chicago, IL
About Website The Chicago Reader is Chicago's largest free weekly newspaper, nationally recognized as a leader in the alternative press. Since 1971, the Reader has served as Chicago's political conscience, cultural guide and music authority.
Frequency about 24 posts per week.
Website chicagoreader.com
Facebook fans 80,598. Twitter followers 228,232.",24,week, 8059,228232
MinnPost,"Minneapolis, MN
About Website MinnPost is a nonprofit news organization, providing high quality journalism for news-intense Minnesotans.
Frequency about 42 posts per week.
Website minnpost.com
Facebook fans 25,365. Twitter followers 86,600.",42,week, 2536,86600
Detroit Metro Times,"Detroit
About Website Detroit's award-winning alternative weekly publication since 1980.
Frequency about 42 posts per week.
Website metrotimes.com
Facebook fans 85,160. Twitter followers 66,223.",42,week, 8516,66223
The Texas Observer,"Austin, TX
About Website Sharp reporting on Texas news, politics and culture since 1954.
Frequency about 11 posts per week.
Also in Texas Blogs
Website texasobserver.org
Facebook fans 54,432. Twitter followers 45,749.",11,week, 5443,45749
Billy Penn | Philadelphia News,"Philadelphia
About Website Billy Penn is a mobile platform for a better Philly -- the easiest way to find and follow local and breaking news in Philadelphia. Lots is said about Philly every day; we do some here at Billy Penn, and we share the best from everywhere.
Frequency about 84 posts per week.
Website billypenn.com
Facebook fans 24,123. Twitter followers 21,967.",84,week, 2412,21967
LA Observed,"Los Angeles
About Website LA Observed provides Los Angeles media, politics, business and place. A Observed, Kevin Roderick's website of Los Angeles news, media, politics and place.
Frequency about 2 posts per week.
Since May 2003
Website laobserved.com
Facebook fans 1,320. Twitter followers 24,850.",2,week, 132,24850
City Limits,"New York City
About Website City Limits uses in-depth reporting to expose problems, uncover solutions and empower communities in New York City.
Frequency about 12 posts per week.
Website citylimits.org
Facebook fans 31,272. Twitter followers 73,190.",12,week, 3127,73190
Miami Today,"Miami, Florida
About Website News of Miami, Florida. Focus on business, international trade, real estate and development, e-commerce.
Frequency about 12 posts per week.
Website miamitodaynews.com
Facebook fans 7,252. Twitter followers 21,488.",12,week, 725,21488
KPLR11,"St. Louis, MO
About Website News, sports, weather, entertainment and more from KPLR 11 St. Louis.
Frequency about 168 posts per week.
Website kplr11.com
Facebook fans 117,138. Twitter followers 23,635.",168,week, 11713,23635
Heartland Newsfeed,"Nokomis, IL
About Website 24/7 online news website based out of Nokomis, Illinois.
Frequency about 11 posts per week.
Website heartlandnewsfeed.com
Facebook fans 168. Twitter followers 191.",11,week, 16,191
Nashville PRIDE | The Voice of a Proud Community,"Nashville, TN
About Website Pride Publishing Group is community news paper in Nashville. Find latest breaking news, local news, events, entertainment, sports in Nashville. Pride Publishing Group mission is to provide positive community news.
Frequency about 21 posts per week.
Website pridepublishinggroup.com/pride
Facebook fans n/a. Twitter followers 75.",21,week, n/,75
Forest Hills Times,"Queens/Brooklyn, NY
About Website A weekly newspaper group covering the boroughs of Queens and Brooklyn and anywhere else interesting news is happening.
Frequency about 5 posts per week.
Website foresthillstimes.com
Facebook fans n/a. Twitter followers 7,913.",5,week, n/,7913
American Stripe™,"United States
About Website Breaking News, Latest news, & Videos. From the Best.™
Frequency about 1 post per month.
Website americanstripe.com
Facebook fans n/a. Twitter followers 7.",1,month, n/,7
New York Sun,"New York, NY
About Website The New York Sun is published on the Web by TWO SL LLC, which was formed, after the Sun ceased print publication in the fall of 2008, by the founding editor of the Sun, Seth Lipsky, to acquire the intellectual property of the Sun.
Frequency about 6 posts per week.
Website nysun.com
Facebook fans 1,755. Twitter followers 1,351.",6,week, 175,1351
Times of San Diego,"San Diego, CA
About Website Independent news site covering politics, crime, business, sports, education, arts, military, science, life and thoughtful opinion for the San Diego metro area.
Frequency about 84 posts per week.
Website timesofsandiego.com
Facebook fans 1,985. Twitter followers 2,345.",84,week, 198,2345
Atlanta INtown Paper,"Atlanta, GA
About Website Atlanta INtown Paper is a daily destination for news updates, reviews and more. It is your Daily Source for Community News.
Frequency about 12 posts per week.
Website atlantaintownpaper.com
Facebook fans 5,266. Twitter followers 154,559.",12,week, 526,154559
The Los Angeles Independent,"Los Angeles
About Website The Los Angeles Independent is a leading source of local, entertainment, business, style and sports news covering Hollywood, West Hollywood and the Greater Los Angeles area.
Frequency about 6 posts per week.
Website laindependent.com
Facebook fans 121. Twitter followers 104.",6,week, 12,104
NEWS10 ABC,"Albany, NY
About Website News 10 ABC, FOX 23, WTEN, WXXA, Albany, NY offers Slideshows, Photos, News, Weather, and Sports from the Capital Region of New York, Western Massachusetts, and Southern Vermont.
Frequency about 84 posts per week.
Website news10.com
Facebook fans 210,324. Twitter followers 64,828.",84,week, 21032,64828
